id,predict,Date
0,0.46207281947135925,2018/10/23
1,0.4531186819076538,2018/10/22
2,0.4568794369697571,2018/10/21
3,0.4591485857963562,2018/10/20
4,0.453989714384079,2018/10/19
5,0.4577362537384033,2018/10/18
6,0.4682120084762573,2018/10/17
7,0.47025468945503235,2018/10/16
8,0.44733208417892456,2018/10/15
9,0.40430015325546265,2018/10/14
10,0.41920292377471924,2018/10/13
11,0.41920292377471924,2018/10/12
12,0.383283406496048,2018/10/11
13,0.4622553586959839,2018/10/10
14,0.4799223244190216,2018/10/9
15,0.489761084318161,2018/10/8
16,0.4819609522819519,2018/10/7
17,0.48808491230010986,2018/10/6
18,0.5190367102622986,2018/10/5
19,0.526563286781311,2018/10/4
20,0.5281593203544617,2018/10/3
21,0.5208430886268616,2018/10/2
22,0.5763016939163208,2018/10/1
23,0.5814968347549438,2018/9/30
24,0.5712227821350098,2018/9/29
25,0.5391359329223633,2018/9/28
26,0.5413817167282104,2018/9/27
27,0.5163071155548096,2018/9/26
28,0.5269778370857239,2018/9/25
29,0.4947086572647095,2018/9/24
30,0.5706919431686401,2018/9/23
31,0.5707935690879822,2018/9/22
32,0.5614273548126221,2018/9/21
33,0.44996294379234314,2018/9/20
34,0.3260749578475952,2018/9/19
35,0.3210335373878479,2018/9/18
36,0.27203720808029175,2018/9/17
37,0.2806062400341034,2018/9/16
38,0.2824728488922119,2018/9/15
39,0.2773810029029846,2018/9/14
40,0.2804798185825348,2018/9/13
41,0.2700827419757843,2018/9/12
42,0.2638314962387085,2018/9/11
43,0.2702775299549103,2018/9/10
44,0.2786831855773926,2018/9/9
45,0.27925848960876465,2018/9/8
46,0.29236212372779846,2018/9/7
47,0.3019044101238251,2018/9/6
48,0.28359872102737427,2018/9/5
49,0.3322641849517822,2018/9/4
50,0.3354303538799286,2018/9/3
51,0.3424958288669586,2018/9/2
52,0.3477739691734314,2018/9/1
53,0.33533599972724915,31-Aug-18
54,0.3354303538799286,30-Aug-18
55,0.34481316804885864,29-Aug-18
56,0.3519870340824127,28-Aug-18
57,0.3369188904762268,27-Aug-18
58,0.3243088126182556,26-Aug-18
59,0.3277284801006317,25-Aug-18
